# calib_k_100 snapshot
# generated_at: 2026-07-22T21:51:51+09:00
# git_commit: 4ed79b8
# public_data_mock: True
# ingest_counts: {"child_zones": 92, "accident_hotspots": 85, "crime_grid": 3, "guardian_houses": 116, "streetlights": 0, "speed_cameras": 370}
# ingest_mock_flags: {"child_zones": false, "accident_hotspots": false, "crime_grid": true, "guardian_houses": false, "streetlights": true, "speed_cameras": false}
# streetlights_forced_empty: True
# light_density_source: ansim_305_only
# n_pairs_requested: 100
# search_option: 4
# rng_seed: 42
# elementary_only: True
# dest_road_snap: True
# max_detour_ratio: 2.5
# ok=87 backtrack=9 detour_ratio=4 fail=0
route_id,origin_lat,origin_lng,dest_lat,dest_lng,zone_name,length_km,sf_cctv_cnt,sf_light_cnt,sf_emerg_cnt,zone_cctv,coverage,guardian_cnt,camera_cnt,accident_cnt,doc_risk_cnt,score,status
calib-040,37.5278957,127.0534385,37.5284742,127.0443467,청담초등학교,1.87,0,0,0,11,0.317,0,4,1,0,53.72301214574899,ok
calib-041,37.4819018,127.0469229,37.4759582,127.0525224,포이초등학교,1.353,1,2,2,6,0.318,1,3,0,0,79.33366933635382,ok
calib-042,37.5097471,127.0334924,37.5086123,127.0261628,논현초등학교,0.856,1,2,1,14,0.334,0,1,0,0,77.84091224320994,ok
calib-043,37.5125477,127.0232371,37.5232883,127.0240487,신구초등학교,1.765,0,0,0,8,0.098,0,8,0,0,59.61561904761905,ok
calib-044,37.5234198,127.0458946,37.520139,127.044633,언북초등학교,0.411,0,0,0,9,0.423,0,4,0,0,64.5236561085973,ok
calib-045,37.4895275,127.0775623,37.4920207,127.0808027,영희초등학교,0.595,0,0,0,11,0.529,0,1,0,0,65.39633082706767,ok
calib-046,37.4819694,127.0815351,37.4900014,127.0761476,일원초등학교,1.432,0,0,0,6,0.37,0,1,0,0,61.34857142857143,ok
calib-047,37.5099454,127.0420169,37.5123065,127.0392781,학동초등학교,0.535,0,0,0,7,0.298,0,0,1,0,49.834666666666664,ok
calib-048,37.4762188,127.068223,37.4867878,127.0706871,개포초등학교,1.959,0,0,0,9,0.122,0,1,1,0,48.78897478991597,ok
calib-049,37.4928468,127.0476034,37.4860849,127.0578022,개일초등학교,1.858,0,0,0,4,0.205,0,4,1,0,49.474871794871795,ok
calib-050,37.4806504,127.0483519,37.4811604,127.0518057,구룡초등학교,0.671,0,0,0,3,0.424,0,2,0,0,61.289050505050504,ok
calib-051,37.4846564,127.0509853,37.4926424,127.0533663,대도초등학교,1.339,0,0,0,6,0.154,0,0,0,0,56.74971428571428,ok
calib-052,37.477588,127.0810179,37.4806583,127.0857526,대모초등학교,0.885,,,,,,,,,,,backtrack
calib-053,37.4941101,127.0796983,37.4974089,127.0778917,대진초등학교,0.63,0,0,0,13,0.605,0,2,0,0,67.64825396825395,ok
calib-054,37.4974628,127.0991562,37.4913656,127.1014508,수서초등학교,2.598,,,,,,,,,,,detour_ratio:3.67
calib-055,37.5314493,127.0429208,37.5322707,127.0306367,압구정초등학교,1.797,0,0,0,5,0.344,0,4,1,0,52.2116923076923,ok
calib-056,37.48929,127.0445112,37.4863678,127.0368541,언주초등학교,1.229,,,,,,,,,,,backtrack
calib-057,37.5000115,127.023411,37.493092,127.0326376,역삼초등학교,1.886,0,0,0,8,0.222,0,6,0,0,61.12219607843137,ok
calib-058,37.482587,127.081067,37.4858688,127.0859996,왕북초등학교,0.76,0,0,0,10,0.559,0,1,0,0,65.6424126984127,ok
calib-059,37.4977935,127.0954779,37.4934262,127.0876104,대청초등학교,2.579,,,,,,,,,,,detour_ratio:3.04
calib-060,37.4827001,127.0594531,37.4912899,127.0621878,대치초등학교,1.561,0,0,0,5,0.316,1,1,2,0,51.320537740940075,ok
calib-061,37.4814271,127.0673449,37.4902541,127.0694927,양전초등학교,1.472,0,0,0,13,0.182,2,2,0,0,68.09873327527995,ok
calib-062,37.4677358,127.0940634,37.4689486,127.0910247,세명초등학교,0.374,0,0,0,3,0.454,0,1,0,0,61.134129870129875,ok
calib-063,37.4770334,127.1064465,37.4744594,127.1079952,율현초등학교,0.418,0,0,0,1,0.459,0,0,1,0,48.855111111111114,ok
calib-064,37.4771504,127.0892584,37.47234,127.1000154,자곡초등학교,5.057,,,,,,,,,,,backtrack
calib-065,37.4771818,127.1023393,37.47234,127.1000154,개원초등학교,2.098,,,,,,,,,,,backtrack
calib-066,37.5040912,127.0609237,37.4948368,127.0649624,대곡초등학교,1.473,1,2,2,29,0.42,0,4,3,0,62.74509261066119,ok
calib-067,37.4613667,127.1059764,37.464741,127.1056012,대왕초등학교,0.603,0,0,0,2,0.338,0,0,0,0,57.408,ok
calib-068,37.5039829,127.0594467,37.5037663,127.0635401,대현초등학교,0.623,3,5,5,6,0.496,1,2,0,0,97.70151621604487,ok
calib-069,37.5055873,127.0625867,37.4994388,127.0544993,도곡초등학교,1.589,1,3,3,16,0.424,1,5,1,0,74.4123267873542,ok
calib-070,37.4951435,127.046388,37.5013635,127.0489248,도성초등학교,0.999,0,0,0,4,0.277,0,2,4,0,42.08856565656566,ok
calib-071,37.5236101,127.0564994,37.5202449,127.0608815,봉은초등학교,0.854,0,0,0,3,0.226,0,2,0,0,58.121050505050505,ok
calib-072,37.514891,127.0543195,37.5134371,127.0468302,삼릉초등학교,0.75,6,28,9,10,0.466,1,1,0,0,100.0,ok
calib-073,37.5275869,127.0355212,37.5284742,127.0443467,청담초등학교,1.071,0,0,0,10,0.251,0,9,0,0,62.70199033816425,ok
calib-074,37.4743242,127.0575631,37.4759582,127.0525224,포이초등학교,1.19,0,0,0,4,0.157,0,0,0,0,55.845333333333336,ok
calib-075,37.5022925,127.015215,37.5086123,127.0261628,논현초등학교,1.714,0,0,0,10,0.19,1,2,0,0,65.09291171766434,ok
calib-076,37.5170894,127.023182,37.5232883,127.0240487,신구초등학교,0.83,0,0,0,8,0.21,0,5,0,0,61.026666666666664,ok
calib-077,37.5207206,127.0492058,37.520139,127.044633,언북초등학교,0.53,2,6,4,10,0.41,0,1,1,0,79.40026371015941,ok
calib-078,37.4874068,127.0771984,37.4920207,127.0808027,영희초등학교,0.824,0,0,0,11,0.249,0,2,0,0,61.55125146198831,ok
calib-079,37.4908489,127.0817885,37.4900014,127.0761476,일원초등학교,0.534,1,4,2,11,0.457,1,1,0,0,93.90734530569357,ok
calib-080,37.5100854,127.0362545,37.5123065,127.0392781,학동초등학교,0.44,1,2,2,11,0.56,1,2,0,0,96.5200442177354,ok
calib-081,37.4905544,127.0674795,37.4867878,127.0706871,개포초등학교,0.698,0,0,0,13,0.652,1,2,0,0,75.77035592133097,ok
calib-082,37.4947896,127.0630367,37.4860849,127.0578022,개일초등학교,1.51,0,0,0,19,0.262,0,1,0,0,62.371894179894184,ok
calib-083,37.4789091,127.0467229,37.4811604,127.0518057,구룡초등학교,0.755,0,1,1,3,0.359,0,3,1,0,58.45901797199931,ok
calib-084,37.4956257,127.0574887,37.4926424,127.0533663,대도초등학교,1.133,0,0,0,15,0.623,0,2,3,0,52.267516908212556,ok
calib-085,37.471405,127.080172,37.4806583,127.0857526,대모초등학교,1.346,,,,,,,,,,,backtrack
calib-086,37.4988152,127.0698718,37.4974089,127.0778917,대진초등학교,1.151,0,0,0,6,0.287,0,0,0,0,58.87771428571428,ok
calib-087,37.4947389,127.11227,37.4913656,127.1014508,수서초등학교,1.693,,,,,,,,,,,backtrack
calib-088,37.5291135,127.0324781,37.5322707,127.0306367,압구정초등학교,0.483,0,0,0,5,0.513,0,0,0,0,62.054153846153845,ok
calib-089,37.4803792,127.0384405,37.4863678,127.0368541,언주초등학교,1.365,0,0,0,5,0.259,0,2,2,0,46.05364590964591,ok
calib-090,37.489114,127.0230429,37.493092,127.0326376,역삼초등학교,1.392,0,0,0,8,0.247,0,1,0,0,60.094857142857144,ok
calib-091,37.494548,127.0937815,37.4858688,127.0859996,왕북초등학교,2.61,0,0,0,13,0.192,0,1,0,0,54.232,ok
calib-092,37.4902601,127.0939597,37.4934262,127.0876104,대청초등학교,1.321,0,0,0,4,0.183,0,1,0,0,57.40419047619048,ok
calib-093,37.4913715,127.0743638,37.4912899,127.0621878,대치초등학교,1.654,0,0,0,11,0.226,0,0,1,0,49.805473684210526,ok
calib-094,37.48624,127.0711853,37.4902541,127.0694927,양전초등학교,0.582,0,0,0,13,0.719,1,2,0,0,77.34730318731158,ok
calib-095,37.4678594,127.0985942,37.4689486,127.0910247,세명초등학교,0.894,0,0,0,3,0.514,0,1,1,0,52.49412987012987,ok
calib-096,37.4786365,127.1052407,37.4744594,127.1079952,율현초등학교,0.651,0,0,0,1,0.338,0,0,1,0,46.919111111111114,ok
calib-097,37.4763824,127.0939638,37.47234,127.1000154,자곡초등학교,1.008,0,0,0,6,0.205,1,1,1,0,55.40051773729626,ok
calib-098,37.4791264,127.1028287,37.47234,127.1000154,개원초등학교,1.86,0,0,0,7,0.154,0,2,0,0,58.90844444444444,ok
calib-099,37.5003809,127.053319,37.4948368,127.0649624,대곡초등학교,1.861,0,1,1,30,0.487,1,6,4,0,59.531388227274604,ok
