# calib_k_100 snapshot
# generated_at: 2026-07-22T19:07:50+09:00
# git_commit: c4d7d1e
# public_data_mock: True
# ingest_counts: {"child_zones": 92, "accident_hotspots": 85, "crime_grid": 3, "guardian_houses": 116, "streetlights": 0, "speed_cameras": 370}
# ingest_mock_flags: {"child_zones": false, "accident_hotspots": false, "crime_grid": true, "guardian_houses": false, "streetlights": true, "speed_cameras": false}
# streetlights_forced_empty: True
# light_density_source: ansim_305_only
# n_pairs_requested: 100
# search_option: 4
# rng_seed: 42
# ok=86 backtrack=14 fail=0
route_id,origin_lat,origin_lng,dest_lat,dest_lng,zone_name,length_km,sf_cctv_cnt,sf_light_cnt,sf_emerg_cnt,zone_cctv,coverage,guardian_cnt,camera_cnt,accident_cnt,doc_risk_cnt,score,status
calib-040,37.5311605,127.0399336,37.531739,127.0308413,압구정초등학교,1.377,0,0,0,5,0.456,0,3,0,0,64.50812121212121,ok
calib-041,37.4922667,127.0311808,37.4863231,127.036781,언주초등학교,1.562,0,0,0,13,0.284,1,3,2,0,53.92807640399233,ok
calib-042,37.494296,127.0399311,37.4931611,127.032603,역삼초등학교,1.166,0,0,0,9,0.388,1,3,0,0,69.2398903843822,ok
calib-043,37.4755893,127.0852278,37.4863299,127.086039,왕북초등학교,1.754,,,,,,,,,,,backtrack
calib-044,37.4963977,127.0890287,37.493117,127.0877676,대청초등학교,0.615,0,0,0,4,0.303,0,1,0,0,60.448,ok
calib-045,37.4887856,127.0589562,37.4912788,127.0621966,대치초등학교,0.577,0,0,0,3,0.385,0,0,1,0,49.89333333333334,ok
calib-046,37.4822516,127.0748655,37.4902837,127.069478,양전초등학교,2.042,,,,,,,,,,,backtrack
calib-047,37.4664958,127.0938134,37.468857,127.0910762,세명초등학교,0.508,0,0,0,3,0.376,0,1,0,0,60.949333333333335,ok
calib-048,37.46399,127.1058033,37.474559,127.108267,율현초등학교,1.509,0,2,1,4,0.321,0,0,0,0,61.41513468464431,ok
calib-049,37.4789529,127.089404,37.472191,127.0996009,자곡초등학교,3.99,0,0,0,58,0.287,0,2,2,0,42.225928571428575,ok
calib-050,37.4716808,127.0961476,37.4721907,127.0996009,개원초등학교,0.443,0,0,0,6,0.449,0,2,1,0,54.86971428571429,ok
calib-051,37.4777953,127.0796931,37.4857813,127.0820739,밀알학교,1.036,0,0,0,7,0.259,0,2,0,0,61.81432967032967,ok
calib-052,37.5112928,127.0496881,37.514363,127.054425,정애학교,0.687,0,2,0,11,0.595,0,3,0,0,71.00008973210527,ok
calib-053,37.4966623,127.0634097,37.4999612,127.061603,서울아카데미(외국인),0.83,0,0,0,23,0.51,0,2,3,0,52.37674876847291,ok
calib-054,37.5233132,127.0349087,37.517216,127.0372042,연화어린이집,1.096,0,0,0,3,0.262,1,2,0,0,64.34962553130178,ok
calib-055,37.5109376,127.0677939,37.511759,127.0555131,한별어린이집,1.761,0,0,0,3,0.135,0,9,0,0,58.92190476190477,ok
calib-056,37.4995583,127.0665091,37.4966361,127.058851,삼성어린이집,1.018,0,0,0,12,0.621,0,8,4,0,52.516542264752786,ok
calib-057,37.5197164,127.0412853,37.5127968,127.0505144,오르다어린이집,1.816,1,3,0,8,0.131,2,6,2,0,55.764630043451795,ok
calib-058,37.5033523,127.04623,37.506634,127.051164,선릉삼성어린이집,0.799,0,0,0,1,0.313,1,3,0,0,64.56150509546553,ok
calib-059,37.515395,127.0347674,37.5110277,127.026898,논현어린이집,1.006,0,1,1,12,0.204,0,4,0,0,65.25103047074117,ok
calib-060,37.4854171,127.0749992,37.494007,127.077734,목련어린이집,1.314,0,0,0,4,0.39,0,2,1,0,52.925714285714285,ok
calib-061,37.4930278,127.0633939,37.5018548,127.065542,대치어린이집,1.342,0,0,0,33,0.575,0,8,3,0,55.02995951417003,ok
calib-062,37.4987419,127.069978,37.4999547,127.066938,한티어린이집,0.475,0,0,0,2,0.466,0,1,0,0,61.556000000000004,ok
calib-063,37.5024081,127.0546778,37.4998341,127.056227,킹스키즈어린이집,0.458,0,1,1,7,0.741,0,1,0,0,73.21528597446186,ok
calib-064,37.5062879,127.0455947,37.5014775,127.0563559,선재어린이집,1.529,0,1,1,10,0.267,2,7,0,0,71.10010350958761,ok
calib-065,37.4888837,127.0459072,37.484042,127.043583,성아어린이집,0.896,0,0,0,1,0.227,0,0,1,0,45.46057142857143,ok
calib-066,37.5343064,127.0452437,37.525052,127.049284,청수어린이집,3.608,,,,,,,,,,,backtrack
calib-067,37.5145921,127.0474365,37.5179664,127.0470611,강남구청어린이집,0.672,1,4,2,16,0.517,0,3,0,0,79.51661638293395,ok
calib-068,37.4941036,127.0601776,37.493887,127.0642704,구민회관어린이집,0.445,0,0,0,17,0.69,0,2,2,0,57.00273291925466,ok
calib-069,37.5282692,127.0482032,37.5221207,127.0401134,신사어린이집,1.36,0,0,0,13,0.375,1,4,0,0,69.69856459330144,ok
calib-070,37.5052831,127.0259975,37.5115031,127.0285346,보미나어린이집,1.166,0,0,0,11,0.432,1,5,0,0,70.82473502993273,ok
